"","X","eventid","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","Cluster"
"2353",34874,199008050008,1990,8,5,0,186,6,7.301756,81.67473,3,0,1,1,1,0,0,1,0,9,14,72,186,0,0,13,23,17,3
"2354",103927,201404060058,2014,4,6,1,222,3,10.482834,-66.962128,1,0,0,1,1,1,0,1,0,6,10,55,222,0,0,5,5,0,4
"2355",92200,201303180019,2013,3,18,0,147,11,11.840929,13.141459,1,0,1,1,1,0,1,1,0,2,8,49,147,1,0,5,5,1,4
"2356",67953,200711170011,2007,11,17,0,4,6,34.516895,69.147011,1,1,1,1,1,0,0,1,0,2,3,23,4,0,0,5,5,5,3
"2357",92583,201304040023,2013,4,4,0,137,11,-20.32727,33.885775,2,0,1,1,1,0,0,1,0,2,3,25,137,0,0,5,5,5,3
"2358",58608,200110170004,2001,10,17,0,6,10,35.391555,0.588845,1,1,1,1,1,0,0,1,0,2,14,71,6,1,0,9,23,4,4
"2359",140560,201706080041,2017,6,8,0,160,5,13.371,123.4202,1,0,1,1,1,0,0,1,0,2,3,25,160,1,0,5,3,1,6
"2360",52301,199705130005,1997,5,13,0,603,8,54.748926,-6.315597,1,0,1,1,1,0,0,1,0,1,14,69,233,0,0,5,5,1,1
"2361",118642,201505190067,2015,5,19,0,200,10,35.8638,36.633761,1,1,1,1,0,1,0,1,0,3,4,27,200,0,0,6,16,0,1
"2362",19243,198412300001,1984,12,30,0,186,6,59.913869,-2.073914,5,0,1,1,1,0,0,0,0,3,19,100,186,0,0,6,16,0,3
"2363",14173,198301010007,1983,1,1,0,159,3,-11.967368,93.94043,5,0,1,1,1,0,0,1,0,3,14,75,159,0,0,6,16,0,1
"2364",140563,201706080046,2017,6,8,0,69,8,44.72879,5.024278,1,0,1,1,1,0,0,1,0,7,21,107,69,0,0,8,18,0,3
"2365",93331,201305020011,2013,5,2,0,113,10,32.069286,20.151144,1,0,1,1,1,0,0,1,0,3,3,22,113,0,0,6,16,0,1
"2366",96953,201309130023,2013,9,13,0,153,6,32.37056,70.63583,1,0,1,1,1,0,0,0,0,3,14,68,153,0,0,6,16,0,1
