"","iyear","imonth","iday","extended","country","region","latitude","longitude","specificity","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","attacktype1","targtype1","targsubtype1","natlty1","guncertain1","individual","weaptype1","weapsubtype1","nkill","nwound","property","Cluster"
"5521",2009,7,7,0,153,6,33.796459,71.558487,1,0,1,1,1,0,0,1,0,1,14,73,153,1,0,5,5,1,1,-9,2
"5522",2000,9,4,0,78,8,37.99749,23.762728,1,0,1,1,1,0,0,1,0,3,3,22,78,0,0,8,20,0,0,1,6
"5523",2013,5,3,0,160,5,7.1475,125.103056,1,0,1,1,0,1,0,1,0,3,4,29,160,0,0,6,8,0,2,1,6
"5524",1988,4,15,0,185,8,42.84964,-2.692359,1,0,1,1,1,0,0,1,0,2,3,25,185,0,0,5,3,2,0,0,6
"5525",2013,7,12,0,153,6,25.389288,68.357338,1,0,1,1,1,0,0,1,0,3,19,100,153,0,0,6,16,0,0,1,5
"5526",2014,6,5,0,4,6,32.264539,68.524715,4,0,1,1,0,1,0,1,0,2,4,37,422,0,0,5,5,1,0,0,6
"5527",2011,7,24,0,228,10,12.825647,44.846416,1,0,1,1,0,1,0,1,1,3,4,29,228,0,0,6,15,6,25,1,6
"5528",2015,7,2,0,95,10,33.456112,43.345947,1,0,1,1,0,1,0,1,0,9,4,34,95,0,0,13,23,11,0,1,8
"5529",1996,6,9,0,97,10,31.74137,34.878768,1,0,1,1,1,0,0,1,0,2,14,71,97,0,0,5,5,2,0,1,5
"5530",2008,11,28,1,147,11,4.815554,7.049844,1,0,1,1,1,1,0,1,0,6,14,77,216,0,0,5,5,3,0,0,5
"5531",2015,12,21,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,1,0,3,2,18,95,0,0,6,29,1,0,1,6
"5532",1979,11,2,0,45,3,6.242026,-75.564766,1,0,1,1,1,-9,0,1,0,2,3,25,45,0,0,5,2,3,0,0,3
"5533",2009,4,3,0,95,10,33.303566,44.371773,1,0,1,1,1,0,0,1,0,3,14,67,95,0,0,6,16,0,4,-9,2
"5534",2016,9,26,0,153,6,34.218158,71.556353,2,0,1,1,1,0,0,1,0,3,3,23,153,0,0,6,12,0,9,1,6
"5535",2016,12,17,0,4,6,31.500673,65.844997,4,0,1,1,1,0,0,1,0,2,6,43,4,1,0,5,5,6,0,1,6
"5536",2014,3,16,0,195,11,13.959507,26.020535,1,0,1,1,1,0,0,0,0,1,2,15,195,0,0,5,5,1,0,-9,2
"5537",1983,6,2,0,159,3,-13.152712,-74.218628,1,0,1,1,1,0,0,1,0,1,1,5,159,0,0,5,3,1,0,0,7
"5538",1989,11,11,0,159,3,-15.84065,-70.027891,1,0,1,1,1,0,0,1,0,1,2,15,159,0,0,6,16,0,0,1,7
"5539",1975,1,0,0,603,8,51.504387,-0.140041,1,0,1,1,1,0,0,1,0,3,14,74,216,0,0,6,16,2,1,1,5
"5540",1987,8,11,0,159,3,-14.074916,-72.474297,1,0,1,1,1,0,0,1,0,2,14,75,159,0,0,5,2,0,0,1,7
